token_type,token_address,receiver,amount,id
erc20,0x333A4823466879eeF910A04D473505da62142069,0x77aA943A365161e499eaFF59E936a799e6051e15,0.012116077130103282,
erc20,0x333A4823466879eeF910A04D473505da62142069,0x5C6d1B304abcDffeD1cdF77c918009A228959E42,0.000043666677886132,
erc20,0x333A4823466879eeF910A04D473505da62142069,0x540A6950376edC97D449EcCfd1987C100843Be72,0.009789000443413251,
erc20,0x333A4823466879eeF910A04D473505da62142069,0xf6f6C75478A7DA8332B30AD28Ce389F3De4cBA95,0.003713602034552965,
erc20,0x333A4823466879eeF910A04D473505da62142069,0xD8de315eB7A00f4155d1Ea9eb4eb6888Ae715631,0.000011862638197098,
erc20,0x333A4823466879eeF910A04D473505da62142069,0x57F908C42F5a0e5DBBd3c35a137cC242cF89Add6,0.000433969757388630,
erc20,0x333A4823466879eeF910A04D473505da62142069,0x701d7ec468a8fF9Bd4B76Be049e40cAB79fb3310,0.000893236308777097,
erc20,0x333A4823466879eeF910A04D473505da62142069,0xe44358E670e5084Ca16a5eA41e24d81e66a1F14a,0.000053772221376561,
erc20,0x333A4823466879eeF910A04D473505da62142069,0xEf736f0036647A1B6828c92A9fEe27a6DDC2B250,0.045375952074547252,
erc20,0x333A4823466879eeF910A04D473505da62142069,0x3e465ABFa9b2A7E18a610F489fb3510765461d13,0.028551765186524871,
erc20,0x333A4823466879eeF910A04D473505da62142069,0xd25AD8d836Bf95e2876E34d6e46635A90C38BB86,0.005348925118243397,
erc20,0x333A4823466879eeF910A04D473505da62142069,0x327b0c1Ecd110651dC9994b6764b695c9cdC29bA,0.052090548359854495,
erc20,0x333A4823466879eeF910A04D473505da62142069,0x5FecD240ad629B2De86b87C6cd59a448F2168362,0.004684566976612065,
erc20,0x333A4823466879eeF910A04D473505da62142069,0x61d2b9111F3cA83787006554C8Bc2a8b2207A8E8,0.000064069760620575,
erc20,0x333A4823466879eeF910A04D473505da62142069,0xebA6120492c505b6211cafF86c7757D1df58E8a7,0.000117903109230428,
erc20,0x333A4823466879eeF910A04D473505da62142069,0x36aa46E405d2a605cB0bD6b15476fcB2A3DFc1B2,0.000071616527452938,
erc20,0x333A4823466879eeF910A04D473505da62142069,0xA6E2263A96FD536Bd9D143743dbb2f83eaB9a343,0.000007873797589763,
erc20,0x333A4823466879eeF910A04D473505da62142069,0x207fD22cC5813c5020E03a6E04FF0F0be7819A70,0.000004122972279206,
erc20,0x333A4823466879eeF910A04D473505da62142069,0x885ea391039e0FA3f6833a1F3B6d7433B5b69bb6,0.000232460421001737,
erc20,0x333A4823466879eeF910A04D473505da62142069,0x568b9bFfF4a3a7C7351db84EC2F4Ad4CA147A1D0,0.005373546284065213,
erc20,0x333A4823466879eeF910A04D473505da62142069,0x0096dE908BabE0C94114Da6f5D2Cb47f7DC1B665,0.000162955397433511,
erc20,0x333A4823466879eeF910A04D473505da62142069,0xd26a0a35321C6793E47eB602F1676C915caF111c,0.000141177677284550,
erc20,0x333A4823466879eeF910A04D473505da62142069,0x3BBD1Bcb25dd27bFcEdbDe6C173C2ca35Be62150,0.000020633420443112,
erc20,0x333A4823466879eeF910A04D473505da62142069,0x886F55E670cF0e0749cae8e58bA355Ae5F804575,0.000298140882117571,
erc20,0x333A4823466879eeF910A04D473505da62142069,0x15Fab1cC5262D69853b1196f74d38C7FC96Fc6D7,0.000190681795843212,
erc20,0x333A4823466879eeF910A04D473505da62142069,0x4e3072f7b5C075EA5FdEb423DA95312C4B99dc22,0.044102881925551694,
erc20,0x333A4823466879eeF910A04D473505da62142069,0x51D69A3d4a666fb658c22f761b5b87E04Ecf99Ae,0.000406850510065433,
erc20,0x333A4823466879eeF910A04D473505da62142069,0x66a4F3DBf7633D7B68bE09A63529533bA917F69D,0.000367124845045466,
